word,acceptance
" ",0
"a",1
"b",0
"a a",0
"b a",1
"a b",1
"b b",0
"a a a",1
"b a a",0
"a b a",0
"b b a",1
"a a b",0
"b a b",1
"a b b",1
"b b b",0
"a a a a",0
"b a a a",1
"a b a a",1
"b b a a",0
"a a b a",1
"b a b a",0
"a b b a",0
"b b b a",1
"a a a b",1
"b a a b",0
"a b a b",0
"b b a b",1
"a a b b",0
"b a b b",1
"a b b b",1
"b b b b",0
"a a a a a",1
"b a a a a",0
"a b a a a",0
"b b a a a",1
"a a b a a",0
"b a b a a",1
"a b b a a",1
"b b b a a",0
"a a a b a",0
"b a a b a",1
"a b a b a",1
"b b a b a",0
"a a b b a",1
"b a b b a",0
"a b b b a",0
"b b b b a",1
"a a a a b",0
"b a a a b",1
"a b a a b",1
"b b a a b",0
"a a b a b",1
"b a b a b",0
"a b b a b",0
"b b b a b",1
"a a a b b",1
"b a a b b",0
"a b a b b",0
"b b a b b",1
"a a b b b",0
"b a b b b",1
"a b b b b",1
"b b b b b",0
"a a a a a a",0
"b a a a a a",1
"a b a a a a",1
"b b a a a a",0
"a a b a a a",1
"b a b a a a",0
"a b b a a a",0
"b b b a a a",1
"a a a b a a",1
"b a a b a a",0
"a b a b a a",0
"b b a b a a",1
"a a b b a a",0
"b a b b a a",1
"a b b b a a",1
"b b b b a a",0
"a a a a b a",1
"b a a a b a",0
"a b a a b a",0
"b b a a b a",1
"a a b a b a",0
"b a b a b a",1
"a b b a b a",1
"b b b a b a",0
"a a a b b a",0
"b a a b b a",1
"a b a b b a",1
"b b a b b a",0
"a a b b b a",1
"b a b b b a",0
"a b b b b a",0
"b b b b b a",1
"a a a a a b",1
"b a a a a b",0
"a b a a a b",0
"b b a a a b",1
"a a b a a b",0
"b a b a a b",1
"a b b a a b",1
"b b b a a b",0
"a a a b a b",0
"b a a b a b",1
"a b a b a b",1
"b b a b a b",0
"a a b b a b",1
"b a b b a b",0
"a b b b a b",0
"b b b b a b",1
"a a a a b b",0
"b a a a b b",1
"a b a a b b",1
"b b a a b b",0
"a a b a b b",1
"b a b a b b",0
"a b b a b b",0
"b b b a b b",1
"a a a b b b",1
"b a a b b b",0
"a b a b b b",0
"b b a b b b",1
"a a b b b b",0
"b a b b b b",1
"a b b b b b",1
"b b b b b b",0
