review,sentiment
"I found this film to be one of those great heart-warming gems. The story line is tightly woven and the character development throughout fantastic! I am a big fan of non-US films anyway and this is right up there with: ""Happenstance,"" ""The Closet"" even ""King of Hearts."" Vlastimil Brodsky as Fanda, is fantastic. It is a love story in the true sense of loving life and the twists and turns it takes to get the viewer to understand/enjoy Fanda's view of life (which nearly costs him<br /><br />more than he is prepared to give) are wonderful. His co-star Stelle Zazvorkova is unforgettable as his fed-up wife. I highly recommend this movie for the whole family--my children loved it.",1
"When i heard they were making this i was quited happy considering the first film was pretty good, if a little on the short side.<br /><br />But then i remembered some of the Disney sequel disasters i have previously watched (im looking at you Little mermaid 2).<br /><br />Anyway i watched it and unfortunately i was very disappointed. The best thing about it is the animation is superb. It really has that special polish that the ""proper"" Disney films have.<br /><br />Apart from that.. the rest is disappointing. The storyline is seriously all over the place. One moment its about something, then completely changes to another storyline and then changes to another completely different storyline. It reminded me of how the Family Guy movie was like 3 separate episodes, turned into a film.<br /><br />I laughed perhaps once at the most. Kronk was very funny in the original film but in this he just isn't funny at all.<br /><br />Stay away from this film, unless someone lends it to you for free.<br /><br />4/10",0
"I have seen many good Korean Movies including thrillers and movies with darker overtone, but this one sucks. The director seems to be a sadist, who happened to get someone to produce some junk. The movie lacks any sort of entertainment value and is not even a thriller. I can't believe someone really made such a movie. Even though acting is OK, the story line and the feeling it leaves is awful.<br /><br />I am sure, I am not going to see any movies of this director. No sense of movie making, and utter disappointment in having thriller moments. All this has is showing scenes with psychopath wasting the reels with badly shot scenes and showing more blood and violence thinking that makes it thrilling. Very disappointing movie and I strongly recommend skipping all the movies of this sort.",0
"Peaceful rancher Robert Sterling is on the losing side of a range war with his ruthless neighbors, that is until notorious outlaw Robert Preston shows up out of the blue to level the playing field. Soon he begins to go too far, feeding a growing sense of unease in Sterling, especially when his son begins to idolize the wily criminal.<br /><br />The Sundowners is a tightly-paced, gritty, and surprisingly tough little picture with a great performance by Preston. Here, he comes across as an evil version of Shane, that is until the real nature of the rancher and the outlaw's relationship is revealed. Most movie guides and video boxes spoil the surprise!<br /><br />Rounding out the cast is Chill Wills, Jack Elam, and the debut of John Drew Barrymore, who became more famous for his offspring than his acting.",1
"It's interesting at first. A naive park ranger (Colin Firth) marries a pretty, mysterious woman (Lisa Zane) he's only known for a short time. They seem to be happy, then she disappears without warning. He searches for her and, after a few dead ends, stumbles upon some of her abused childhood and sleazy recent past, which may include criminal activity. And then, it seems the filmmakers didn't know what to do with the story. The beginning, while not as suspenseful as it sounds, is at least watchable. Then it ceases to be interesting or even make much sense. And the ending is so lame, so dull, and so devoid of any excitement or intelligence, you'll think the screenwriters didn't know what to do with it and got bored trying. What a sorry waste of a good idea!",0
"Ah, Moonwalker, I'm a huge Michael Jackson fan, I grew up with his music, Thriller was actually the first music video I ever saw apparently. Believe it or not there was a time where Michael Jackson was like a God to people, a time where women fainted at the sight of him before really fainting before seeing the sight of him, sorry, Michael. But Moonwalker was what started to be a tribute to all of Michael's success of the time right when he released his famous Bad album that was record breaking, was the first album to have 6 top ten singles. Michael is an incredible artist, there is no doubt, he writes, sings, dances, but when it comes to acting or keeping a story straight with his audience not so much.<br /><br />We start off pretty simple: Jackson's music, life, career, success and the mania that was the 80's biggest star in the world Michael Jackson. Later on, Jackson is a 30's style gangster who uses his powers as a crime figure to protect the children. When Jackson was allowed to be near children, we cut to him playing in a field with the children and their dog. The dog runs away, and in their search for it, Jackson and the children uncover the lair of Mr. Big, Frankie Lideo, a drug dealing mobster with an army of henchmen who wants to get the entire populace of planet earth addicted to drugs, starting with the children. Mr. Big discovers Jackson and the children, but they escape; Jackson tells the children to meet him at Club 30's, which turns out to be a haunted nightclub abandoned since the 1930s. The story goes back to the mobsters attack on Jackson, and here it is revealed that Jackson is actually a magical gangster, who draws his power from shooting stars. As one passes by the club, Jackson transforms into a sports car and mows down several of Mr. Big's henchmen. The story picks up on the children at Club 30's, and at first the children are afraid, but when Jackson appears the scary atmosphere of the club transforms and the children find themselves back in the 1930s. The club is now filled with zoot suiters and swing dancers. Jackson participates in a dance-off with the other club members, which serves as the music video for ""Smooth Criminal"". At the climax of the song, Mr. Big lays siege to the club and kidnaps one of the children, Katie. Jackson follows them back to Big's lair and ends up surrounded by his henchmen. Mr. Big appears and mentally tortures Jackson by threatening to inject Katie with highly addictive narcotics. While Katie manages to just grab Joe Pesci's glasses and get free from being injected, Mr. Big decides he's had enough and orders his men to kill Katie before finishing off Jackson, but not before a shooting star flies by. Jackson transforms into a giant robot and kills all of Mr. Big's soldiers. Yup, ummm, you want more weirdness? Watch the movie.<br /><br />Moonwalker is fun for the first half hour, seeing Michael's success and all his hard work really makes his fans appreciate him once again. Is it mostly to hype up his album? Yeah, I love how he spends the first 25 minutes praising how awesome he is, then we go to his song called ""Leave Me Alone"", which is kind of hypocritical, not that it's not a great song, just a small turn of events. Then when we skip the crummy acting, the story was incredibly weak: The villain spells his name out loud while Michael and Katie are spying on him, lol, Michael is a transformer all of a sudden, the villain's big monster plan is to make kids high? Also the villain has some sort of massive ray gun that would make Marvin the Martian blush. But if there is one new thing that is incredible that the movie gives us is the new video for Smooth Criminal. This music video is perfection, it's choreographing, it's setting, it's song, it's smooth style, Michael always goes above and beyond perfection and Smooth Criminal was incredible. I loved Moonwalker as a kid, I still watch it for fun to this day, but it's not the best movie by any means, it's pretty silly, but it's all good if you're a Michael Jackson fan as well.<br /><br />7/10",1
"Gregory Peck's brilliant portrayal of Douglas MacArthur from the Battle of Corregidor in the Philippines at the start of the Pacific War largely through to his removal as UN Commander during the Korean War offers reason to believe all three of the above possibilities. Certainly the most controversial American General of the Second World War (and possibly ever) MacArthur is presented here as a man of massive contradictions. He claims that soldiers above all yearn for peace, yet he obviously glories in war; he consistently denies any political ambitions, yet almost everything he does is deliberately used to boost himself as a presidential candidate; he obviously believes that soldiers under his command have to follow his orders to the letter, yet he himself deliberately defies orders from the President of the United States; he shows great respect for other cultures (particularly in the Philippines and Japan) and yet is completely out of touch with his own country. All these things are held in balance throughout this movie, and in the end the viewer is left to draw his or her own conclusions about the man, although one is left with no doubt that MacArthur sincerely and passionately loved his country, and especially the Army he devoted his life to.<br /><br />Peck's performance was, as I said, brilliant - to the point, actually, of overshadowing virtually everyone else in the film (which is perhaps appropriate, given who he was portraying!) with the possible exception of Ed Flanders. I though he offered a compelling look at Harry Truman and his attitude to MacArthur: sarcastic (repeatedly referring to MacArthur as ""His Majesty,"") angry, frustrated and finally completely fed up with this General who simply won't respect his authority as President. Marj Dusay was also intriguing as MacArhur's wife Jean, devoted to her husband (whom she herself referred to as ""General,"" although their relationship seems to have been a happy enough one.) I very much enjoyed this movie, although perhaps would have liked to have learned a little more about MacArthur's early life. I have always chuckled at MacArthur's reaction to Eisenhower being elected President (""He'll make a fine President - he was the best damn clerk I ever had"" - which seems to sum up what MacArthur thought the role of the President should be, especially to his military commanders during wartime.) Well worth watching. 8/10",1
"An evil land baron is holding up water to a group of ranchers in order to try and take their properties for pennies on the dollar. Along comes Singin' Sandy Saunders (John Wayne), who saves the day for Gabby Hayes and his daughter by going undercover as the villain's newest gunman.<br /><br />The first of sixteen films Wayne made for Lone Star/ Monogram Pictures, this tries to cast him as a singing cowboy, only with an obviously lip-synced voice. The title card prominently features his character as ""Singin' Sandy"" leading one to believe that this was meant to be the first in a proposed series!<br /><br />Yes it's ridiculous, but also a lot of fun to see Wayne singing songs and shooting guns, especially when he does a little ditty before shooting it out with gunman Earl Dwire.<br /><br />Riders Of Destiny features a rare villainous role for for Al ""Fuzzy"" St. John, who clowns around as much with the bad guys as he did playing a heroic sidekick, riding alongside Buster Crabbe and Lash LaRue.",1
"I am going to go out on a limb, and actually defend ""Shades of Grey"" as a good clip-show episode, which delved into the life and death struggle of Commander William Thomas Riker who was battling a terminally fatal disease.<br /><br />The scenes from the flashback sequences were implemented quite well with the mood Riker was in such as when he was reliving his romantic episodes such as ""11001001,"" ""Angel One,"" and ""Up the Long Ladder."" Tragic moments were highlighted such as Tasha's death in ""Skin of Evil,"" as well as elements of pulse-pounding danger in ""Heart of Glory,"" ""Conspiracy,"" and the aforementioned ""Skin of Evil."" Riker also exhibited courage under fire by telling some humorous jokes such as ""An ancestor of mine was bitten by a rattlesnake once...after 3 days of intense pain, the snake died."" This episode highlighted the psychological ordeal of Will Riker under extreme duress. And, YES, I am biased in my opinion in proclaiming ""Shades of Grey"" as a solid episode, because at the time of its original airing, my face was covered in sweat, wondering whether or not Riker would pullout of it alive and live to see other great, galactic, outerspace adventures beyond the final frontier...<br /><br />Of course, in subsequent years, I seem to have formed a singular opinion of this particular episode...but, if an award should go for ""the best clip-show episode in the history of television,"" then I believe that this episode should be highly regarded in that respect.",1
"First off, anyone looking for meaningful ""outcome oriented"" cinema that packs some sort of social message with meaningful performances and soul searching dialog spoken by dedicated, emotive, heartfelt thespians, please leave now. You are wasting your time and life is short, go see the new Brangelina Jolie movie, have a good cry, go out & buy a hybrid car or throw away your conflict diamonds if that will make you feel better, and leave us alone.<br /><br />Don't let the door hit you on the way out either. THE INCREDIBLE MELTING MAN is a grade B minus regional horror epic shot in the wastelands of Oklahoma by a young, TV friendly cast & crew, and concerns itself with an astronaut who is exposed to bizarre radiation effects, wakes up in a hospital, and finds that his body is liquefying on him as he sits there feeling like a chump. The melting man is played by one Alex Rebar, who is recognizable for about the first four minutes of the film. But once he starts oozin' with Rick Baker's extraordinary special effects makeup he more resembles something you might find in a tin of spam before you drain off all the runny, viscous blebs of grease.<br /><br />The film has zero exposition and does not bandy about with plot points: There are a couple of scenes involving scientist types riding around on an absurd industrial conveyor machine who dutifully recite a few obligatory lines about the effects of radiation but the movie does not care, really. It's a freak show and a marvelous one at that with a decidedly sick sense of humor for those who can stomach it -- One great laugh comes when the melting man stumbles upon a young girl in the forest and is so at a loss for what to do that one of his eyes pops out. Hilarious.<br /><br />The ""hero"" of the film is played by Burr DeBenning, a fascinating character actor from the golden 1970s & 80s television scene who was sort of an early model for the Kevin Spacey prototype; slightly twisted, neurotic, and one step ahead of most everyone in the room even if he looks confused. He appeared just after this movie was made in a bizarre made for TV anthology horror piece called HOUSE OF THE DEAD (or THE ALIEN ZONE) that is regarded as one of the finest movies ever made in Oklahoma, which is where I suspect this film was made as well. The arid, cold looking rural midwestern landscapes are certainly the same, and the creek that one unfortunate fly fisher chooses for his afternoon of sport appears to be the same one that Cameron Mitchell fought off flying alien pancakes in WITHOUT WARNING ... which also had a sick sense of humor, a TV friendly cast, and some pretty outrageous gore. I definitely sense at least an aesthetic connection between the three movies, as well as THE SILENCE OF THE LAMBS which is of no surprise considering that director Jonathan Demme is a part of MELTING MAN's cast.<br /><br />Essentially, as others have pointed out, this is a 1950s B movie plot updated for later 1970s era special effects & the inevitable boobs. The movie it probably borrows most of it's ideas from is PHANTOM FROM SPACE with Peter Graves as an astronaut who also returns to Earth after being exposed to funky radiation effects that set him off on a killing spree. One of the things that I actually admire about the film is that absolutely no regard is given for the melting man's motivations: He simply goes on a rampage and the movie's drama comes from wondering if he's going to fall to pieces before certain characters fall victim to his madness. The budget for the film is also delightfully low and every dime spent on it is up there on the screen, Rick Baker's disgusting effects getting the lion's share of whatever was spent on this.<br /><br />Sick, disgusting fun best enjoyed with a crowd of friends and plenty of beer. Why can't people have made more movies like these? <br /><br />8/10",1
"I saw this movie on VHS some time ago (27 Jan 2003), just because of the name of Paul Rudd on the cover. I liked his performance in `The Object of My Affection' very much and I really expected a good work. However, I found this film a complete mess. The story has a very confused screenplay and the characters are not well developed. Further, the low-budget special effects do not help much. I do not know the previous generation of Gen-Y Cops, but this next generation is not good. I do not recall exactly why I gave this grade (and I do not intent to see this movie again), but my vote is four.<br /><br />Title (Brazil) : `Gen-Y Cops A Nova Geração' (`Gen-Y Cops The Next Generation')",0
"The third, and final installment of ""Hanzo the Razor"" is the most concrete of them all. The ""training"" even gets completed within the first five minutes of the film. Not for everyone, this film details Hanzo's investigation of loan sharking being performed by an order of blind monks. It also makes a historical comment on the prideful refusal of old Japan to incorporate Western technology. Where the first Hanzo film was just a funny and gory ride with little connection to it's plot, ""Hanzo 3: Who's Got the Gold"" manages to connect everything, and brings it all home in the end. Definitely the perfect finale. Oh yeah, Hanzo still has a lot of sex, and there's a lot of needless blood and violence (it *is* Hanzo the Razor after all).",1
"Drew Latham(Ben Affleck)is determined not to be lonely this Christmas. Not only is Drew a millionaire; but also obnoxious and guilty of being very grandiose. Drew goes back to the home he grew up in and offers the family living there, the Valco's, $250,000 to be his ""family"" through the Christmas season. Tom Valco(James Gandolfini)is reluctant, but is greedy enough to take Drew's offer. Christine Valco(Catherine O'Hara)has little to say in the matter, but learns to like having Drew around...not exactly the same sentiment with daughter Alicia(Christina Applegate), but that too has room for change. Drew's girlfriend Missy(Jennifer Morrison)tracks down Drew and wants her folks to meet his family. Genuine fun is in store as a happy Noel becomes a hilarious dysfunctional nightmare. Other members of the cast: Josh Zuckerman, Bill Macy, David Selby and Stephanie Faracy. Affleck is comedic, albeit strange.",0
"As a rule, I try to find as much in films as I possibly can to enjoy them. I made no exceptions with ""Tart"", doing my very best to appreciate it for what it was. But no effort, no matter how great, could possibly redeem this pitiful excuse for a movie.<br /><br />It failed for a number of reasons. Firstly, the cinematography was directionless and ineffective. Secondly, the script reached depths of 'poor' that took it well and truly beyond the 'so bad it's good' category. Thirdly, the acting left mind-blowing amounts to be desired - it was appalling, it really was. Anyone who saw Mischa Barton (seen here as the remarkably terrible Grace, a character so poorly invented and realised that Ja Ja Binks doesn't seem so bad) as Devon in John Duigan's ""Lawn Dogs"" will wonder what went wrong between then and now. Perhaps, had she been given a character worth bothering with, and a modicum of direction, she at least might have given this film ONE redeeming feature. Alas, such was not the case. Finally, the film seemed to have no point whatsoever, expressing nothing, achieving nothing. Really, I wonder why Christina Wayne bothered.<br /><br />""Tart"" made a feeble attempt to be something, and failed. The result - a film, sadly, so bad that it's just very, very bad. Don't bother - it really isn't worth it.",0
"I just finished watching the 139 min version (widescreen) with some friends and we were blown away. I won't bother repeating what others have said. What the filmmakers do with the concept is unexpected and fun. The huge battle is exhausting. Afterwards we were stunned to find there was still nearly 30 minutes left to go but that didn't keep us from being completely involved and entertained.<br /><br />There is one thing that nearly ruined it and that was the horrific music/songs. Blues, Country/Folk and Rock Ballads do not belong here and every time they are used we all broke out in laughter. It's hideous. You have been warned but the story and storytelling keeps you grounded.<br /><br />There are several outstanding moments that make you appreciate the talent behind the camera. There are many uses of silence as well as slow-motion photography that work beautifully. I really wish I could erase the music but alas.<br /><br />Seek this out. It's fun, it's different and it takes you to places you wouldn't expect and that's very refreshing.",1
"I was really looking forward to watching this film. It had all the ingredients of a great tongue in cheeker, but it just didn't come together AT ALL. Kevin Spacey's accent was tolerable except that sometimes he forgot to use it and I would rather NOT have had to listen to Linda Fiorentino's pale attempt. She and Helen Baxendale were totally lacking in charm and personality, thankfully their screen kids had loads, so you could find at least some members of his 2 families endearing. You could have strained spaghetti with the plot and I'm sure that the script was written by some adolescent schoolboy in a high school English competition. That said, when I wasn't cringing, I was smirking so it wasn't a totally wasted 90 minutes. I did find the superimposing of Kevin's face on the painting very clever and quite funny. Maybe I'm being a bit harsh but I was expecting a bit of quality viewing and it just never came.",0
"Ghost of Dragstrip Hollow is a typical 1950's teens in turmoil movie. It is not a horror or science fiction movie. Plot concerns a group of teens who are about to get kicked out of their ""hot rod"" club because they cannot meet the rent. Once kicked out, they decide to try an old Haunted House. The only saving grace for the film is that the ""ghost"" (Paul Blaisdell in the She Creature suit) turns out to be an out of work movie monster played by Blaisdell.",0
"When the trailer for Accepted first came up, many people began to get excited about seeing it... really excited. Who could blame them, it looked like fun. But that's exactly the thing. People went into Accepted looking for a good movie, but if you think about it, Accepted isn't the type of film destined to be a good movie. It's meant to be a film that pleases its crowd without too much effort being given. That being said, for those of you who expected a great film, you need to think about what could be made of a comedy like this one. Think that, and you will truly enjoy the film (because you'll rid yourself of your idea that the movie will be fantastic.) BOTTOM LINE: Watch the movie, and have fun, but don't look for anything groundbreaking.",1
"When I first saw it 9 years ago, when I was 9. I thought it stunk. I'm 18 now and I still think it stinks. I mean geez no Special effects or anything, it was boring and kinda anti-climatic. My cousin watched once and George Takai (Sulu) kept talking about how it was supposed to be so much better, but they kept cutting to the budget. It would have been a great episode, but it was a terrible movie.",0
